signal_id,observed_at,source_id,signal_type,value,confidence,player_id,team_id,fixture_id,gameweek,valid_from,expires_at,status,source_url,note
odds-api-clean_sheet_probability-01615d9573ef1e5aa8c09eb32a4a983b-12-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.247248,1.0,,12,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-01615d9573ef1e5aa8c09eb32a4a983b-20-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.258373,1.0,,20,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-01615d9573ef1e5aa8c09eb32a4a983b-12-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.353353,1.0,,12,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-01615d9573ef1e5aa8c09eb32a4a983b-20-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.397364,1.0,,20,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-ee99154f8db029efcf567c5f7f7a0c0b-18-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.424316,1.0,,18,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-ee99154f8db029efcf567c5f7f7a0c0b-13-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.301127,1.0,,13,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-ee99154f8db029efcf567c5f7f7a0c0b-18-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.768206,1.0,,18,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-ee99154f8db029efcf567c5f7f7a0c0b-13-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.69763,1.0,,13,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-ee99154f8db029efcf567c5f7f7a0c0b-18-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.30237,1.0,,18,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-ee99154f8db029efcf567c5f7f7a0c0b-13-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.231794,1.0,,13,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-ee99154f8db029efcf567c5f7f7a0c0b-18-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.461904,1.0,,18,6,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
